GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AON5E001,AON5E002,AON5E003,AON5E004,AON5E005,AON5E006,AON5E007,AON5E008,AON5E009,AON5E010,AOP8E001,AOP8E002,AOP8E003,AOP8E004,AOP8E005,AOP8E006,AOP8E007,AOP8E008,AOP8E009,AOP8E010,AOP8E011,AOP8E012,AOP8E013,AOP8E014,AOP8E015,AOP8E016,AOP8E017,AOP8E018,AOP8E019,AOP8E020,AOP8E021,AOP8E022,AOP8E023,AOP8E024,AOP8E025,AOQIE001,AOSJE001,AOSJE002,AOSJE003,AOSJE004,AOSJE005,AOSJE006,AOSJE007,NAME_M,AON5M001,AON5M002,AON5M003,AON5M004,AON5M005,AON5M006,AON5M007,AON5M008,AON5M009,AON5M010,AOP8M001,AOP8M002,AOP8M003,AOP8M004,AOP8M005,AOP8M006,AOP8M007,AOP8M008,AOP8M009,AOP8M010,AOP8M011,AOP8M012,AOP8M013,AOP8M014,AOP8M015,AOP8M016,AOP8M017,AOP8M018,AOP8M019,AOP8M020,AOP8M021,AOP8M022,AOP8M023,AOP8M024,AOP8M025,AOQIM001,AOSJM001,AOSJM002,AOSJM003,AOSJM004,AOSJM005,AOSJM006,AOSJM007
"G470","2017-2021","TN",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US47",,,"47","Tennessee",6859497,5198206,1130608,15219,125581,4312,123978,261593,92352,169241,4708480,51894,801,739,1643,2112,6360,4910,8100,25714,20027,66720,68681,92494,99222,79745,1217869,267944,307601,661043,357650,859255,356100,87302,64554,58516,5504783,3399281,3380708,3201140,179568,18573,2105502,"Tennessee",,5221,3627,1267,1953,926,4151,5383,3538,3762,1383,1840,213,194,480,449,789,601,689,1835,1171,2088,2369,2926,2504,2355,9649,4402,5363,7528,4535,7932,5522,3010,2032,363,2072,9257,9158,9460,4259,1263,9385
"G480","2017-2021","TX",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US48",,,"48","Texas",28862581,18566027,3499862,147892,1452713,24608,2019394,3152085,2383697,768388,18619469,428003,5110,6536,18664,42141,89006,57185,86771,371469,101364,216111,401571,305311,342342,354597,3747907,815712,1192555,2763475,1402444,3791665,1522588,327556,229386,67321,22261181,14492816,14390216,13618630,771586,102600,7768365,"Texas",,26849,9929,4782,5444,1468,21195,24923,24559,13938,2994,7841,554,975,1242,2331,3674,2584,3567,8006,3225,4578,7756,5772,6498,6215,24294,8942,14765,18273,12199,22784,15253,5861,5629,214,5258,21221,20948,22807,9583,2744,21123
"G490","2017-2021","UT",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US49",,,"49","Utah",3231370,2704561,38545,33242,75530,29086,168048,182358,80779,101579,1921860,18794,352,399,247,1044,1774,1225,2210,11431,3148,7041,13512,15124,23820,32382,377270,58341,152626,330269,189992,450953,166433,35638,27835,79133,2391727,1653818,1648313,1590143,58170,5505,737909,"Utah",,4858,1331,1506,1748,1300,5279,5119,4518,2970,593,1321,166,151,95,260,319,331,458,982,519,757,1041,894,1291,1481,5064,1820,2859,4116,3384,4835,3485,1202,1249,556,1423,4740,4838,5117,1766,615,4933
"G500","2017-2021","VT",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US50",,,"50","Vermont",641637,596282,8166,1520,10759,165,3123,21622,6135,15487,454463,2630,102,50,46,86,169,37,172,519,519,3939,3486,5370,5847,4943,113463,13665,24193,50573,38964,110000,54302,11805,9583,67674,537475,349819,348907,335239,13668,912,187656,"Vermont",,654,489,266,741,87,399,1147,615,897,429,391,72,43,37,69,98,27,97,171,159,493,439,512,606,511,1954,722,1032,1590,1183,2115,1372,695,697,896,540,2407,2391,2473,727,213,2321
"G510","2017-2021","VA",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US51",,,"51","Virginia",8582479,5574307,1631941,24007,578210,5313,265361,503340,177168,326172,5882521,74749,960,1144,1977,3583,8215,6651,11904,32689,27507,48170,61964,85735,90207,84144,1173844,228643,359287,742824,465927,1338831,762490,155464,115612,80615,6903607,4552635,4422588,4219781,202807,130047,2350972,"Virginia",,6853,5030,1684,3182,576,8225,8236,6277,6007,1726,2697,224,283,382,609,753,719,976,1763,1350,1807,2303,2364,2272,2559,10294,3374,5220,7704,5418,9656,7025,3645,2704,377,2528,9399,9236,9555,4129,2310,9437
"G530","2017-2021","WA",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US53",,,"53","Washington",7617364,5465011,293401,90789,682711,50902,378956,655594,206432,449162,5278652,70975,716,1325,3177,5837,10160,6289,9278,36319,10005,29316,45244,49367,63340,85153,946464,203829,397811,799043,536996,1217575,544325,120128,85980,82400,6120915,3958572,3899915,3701656,198259,58657,2162343,"Washington",,9069,3917,2717,4539,1551,8477,8153,6236,6928,1079,2499,224,359,580,749,843,752,936,1967,819,1622,2084,2167,2326,2159,8911,3965,5485,7224,6107,7933,6187,2620,2126,397,1941,7504,7848,8862,4228,1958,7340
"G540","2017-2021","WV",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US54",,,"54","West Virginia",1801049,1658405,61143,1911,13882,683,9562,55463,15990,39473,1277914,10840,225,197,214,205,973,1060,1665,5611,6891,20898,24462,32759,29933,16648,432304,79928,78854,157851,98115,165975,81546,17591,13169,50884,1478714,788433,786365,736088,50277,2068,690281,"West Virginia",,1684,1416,340,743,275,1153,1968,1515,1427,895,659,185,141,125,109,269,239,405,704,598,1124,1285,1658,1341,986,4815,2173,2283,3165,2600,3205,2473,975,802,550,1081,4088,4147,3993,1910,457,4097
"G550","2017-2021","WI",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US55",,,"55","Wisconsin",5871661,4894019,372439,45831,166670,2862,130363,259477,106159,153318,4027685,37230,706,590,650,1016,2443,2320,2784,12269,4374,32968,26797,41407,57691,62030,1070081,139670,269089,545738,449533,833670,312037,70286,52306,67080,4731836,3127362,3123629,3014612,109017,3733,1604474,"Wisconsin",,5646,2726,1176,1972,713,5140,4988,4048,3550,843,1507,194,195,208,247,349,403,346,900,505,1180,1314,1384,2047,1920,8142,2255,3116,5452,4312,6728,4529,1890,1667,329,1449,5900,5815,6500,2685,490,6129
"G560","2017-2021","WY",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US56",,,"56","Wyoming",576641,511179,5242,12987,5046,433,13317,28437,12276,16161,390162,2706,23,15,59,121,263,113,22,956,526,2245,2226,4187,5299,5672,90197,20753,32919,65427,45150,69809,30947,5993,4534,68002,457128,300833,297398,284934,12464,3435,156295,"Wyoming",,1619,581,584,424,167,1274,1760,1368,1175,711,540,29,27,44,98,151,71,27,266,165,347,398,508,616,657,1844,1052,1267,1930,1305,1855,1540,726,584,1091,608,1897,1847,2179,880,444,1907
"G720","2017-2021","PR",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US72",,,"72","Puerto Rico",3311274,1693651,329651,5407,6263,245,714904,561153,389412,171741,2399112,56393,850,565,10010,15180,30357,36358,28826,64692,40975,53199,82909,33426,46023,19397,618395,54097,33742,251268,264340,469856,129632,29645,28977,21967,2797936,1238879,1236011,1055843,180168,2868,1559057,"Puerto Rico",,12697,6952,989,890,223,11374,9702,8053,5348,437,2238,254,160,834,946,1281,1876,1543,2102,1649,1952,2379,1639,1815,1274,6655,2090,1485,4469,5070,5466,3090,1337,1475,175,1321,6162,6101,7087,4347,525,6220
